"supplier_product_code","name","category_name","subcategory_name","Width (m)","Length (m)","Width (m)","Depth (m)","Weight (kg)","List Price £","Discount %","Direct2 Cost Price £","supplier_product_code","SKU","Lead Time in Days","EAN","environmental_text","Product Manufacturer","colour","Unit of Measure","feature1","feature2"
"EUROSS12000","Shallow 12000L Euro:Septic Tank ","Septic Tank","Shallow Septic ",,5.2,1.9,2.4,350,2506,0,"N/A","EUROSS12000","N/A",5,"N/A","The Horizontal Septic Tank range offered by Marsh in the simplest way of treating wastewater from small developments. A Septic tank holds sewage and allows solids to settle into sludge at the bottom of the tank. Unlike a Sewage Treatment Plant the Septic tank cannot discharge directly into a watercourse so a drainage field will be required. Tested and certified to BS EN 12566:1 Annex B. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Shallow Dig for ease of installtion in high water table areas Feet to keep product stable during installation. Keying in lip to aid anchoring into granular/concrete surrounds. Cover & Frame as standard. Manufactured in the UK"
"EUROSS14000","Shallow 14000L Euro:Septic Tank ","Septic Tank","Shallow Septic ",,5.8,1.9,2.4,370,2765,0,"N/A","EUROSS14000","N/A",5,"N/A","The Horizontal Septic Tank range offered by Marsh in the simplest way of treating wastewater from small developments. A Septic tank holds sewage and allows solids to settle into sludge at the bottom of the tank. Unlike a Sewage Treatment Plant the Septic tank cannot discharge directly into a watercourse so a drainage field will be required. Tested and certified to BS EN 12566:1 Annex B. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Shallow Dig for ease of installtion in high water table areas Feet to keep product stable during installation. Keying in lip to aid anchoring into granular/concrete surrounds. Cover & Frame as standard. Manufactured in the UK"
"EUROSS16000","Shallow 16000L Euro:Septic Tank ","Septic Tank","Shallow Septic ",,6.7,1.9,2.4,390,2985,0,"N/A","EUROSS16000","N/A",5,"N/A","The Horizontal Septic Tank range offered by Marsh in the simplest way of treating wastewater from small developments. A Septic tank holds sewage and allows solids to settle into sludge at the bottom of the tank. Unlike a Sewage Treatment Plant the Septic tank cannot discharge directly into a watercourse so a drainage field will be required. Tested and certified to BS EN 12566:1 Annex B. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Shallow Dig for ease of installtion in high water table areas Feet to keep product stable during installation. Keying in lip to aid anchoring into granular/concrete surrounds. Cover & Frame as standard. Manufactured in the UK"
"EUROSS18000","Shallow 18000L Euro:Septic Tank ","Septic Tank","Shallow Septic ",,7.5,1.9,2.1,410,3645,0,"N/A","EUROSS18000","N/A",5,"N/A","The Horizontal Septic Tank range offered by Marsh in the simplest way of treating wastewater from small developments. A Septic tank holds sewage and allows solids to settle into sludge at the bottom of the tank. Unlike a Sewage Treatment Plant the Septic tank cannot discharge directly into a watercourse so a drainage field will be required. Tested and certified to BS EN 12566:1 Annex B. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Shallow Dig for ease of installtion in high water table areas Feet to keep product stable during installation. Keying in lip to aid anchoring into granular/concrete surrounds. Cover & Frame as standard. Manufactured in the UK"
"EUROSS20000","Shallow 20000L Euro:Septic Tank ","Septic Tank","Shallow Septic ",,8.1,1.9,2.4,430,3800,0,"N/A","EUROSS20000","N/A",5,"N/A","The Horizontal Septic Tank range offered by Marsh in the simplest way of treating wastewater from small developments. A Septic tank holds sewage and allows solids to settle into sludge at the bottom of the tank. Unlike a Sewage Treatment Plant the Septic tank cannot discharge directly into a watercourse so a drainage field will be required. Tested and certified to BS EN 12566:1 Annex B. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Shallow Dig for ease of installtion in high water table areas Feet to keep product stable during installation. Keying in lip to aid anchoring into granular/concrete surrounds. Cover & Frame as standard. Manufactured in the UK"
"EN6 ","Ensign 6 Sewage Treatment Plant Gravity Outlet","Sewage Treatment Plant ","Ensign",,2.6,1.6,1.9,270,1495,0,"N/A","EN6 Gravity","N/A",5,"N/A","Domestic Sewage Treatment for 6PE Gravity Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliability and cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN6 ","Ensign 6PE Sewage Treatment Plant Pumped Outlet ","Sewage Treatment Plant ","Ensign",,2.6,1.6,1.9,270,1895,0,"N/A","EN6 Pumped","N/A",5,"N/A","Domestic Sewage Treatment for 6PE Pumped Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliability and cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN8","Ensign 8PE Sewage Treatment Plant Gravity Outlet","Sewage Treatment Plant ","Ensign",,2.6,1.6,1.9,270,1699,0,"N/A","EN8 Gravity ","N/A",5,"N/A","Domestic Sewage Treatment for 8PE Gravity Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliability and cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN8 ","Ensign 8PE Sewage Treatment Plant Pumped Outlet","Sewage Treatment Plant ","Ensign",,2.6,1.6,1.9,270,2099,0,"N/A","EN8 Pumped ","N/A",5,"N/A","Domestic Sewage Treatment for 8PE Pumped Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliability and cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN10 ","Ensign 10PE Sewage Treatment Plant Gravity Outlet","Sewage Treatment Plant ","Ensign",,2.6,1.6,1.9,270,1799,0,"N/A","EN10 Gravity ","N/A",5,"N/A","Domestic Sewage Treatment for 10PE Gravity Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliability and cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN10 ","Ensign 10PE Sewage Treatment Plant Pumped Outlet","Sewage Treatment Plant ","Ensign",,2.6,1.6,1.9,270,2199,0,"N/A","EN10 Pumped","N/A",5,"N/A","Domestic Sewage Treatment for 10PE Pumped Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliability and cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN12 ","Ensign 12PE Sewage Treatment Plant Gravity Outlet","Sewage Treatment Plant ","Ensign",,2.8,1.9,2.1,290,1899,0,"N/A","EN12 Gravity ","N/A",5,"N/A","Domestic Sewage Treatment for 12PE Gravity Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliability and cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN12 ","Ensign 12PE Sewage Treatment Plant Pumped Outlet","Sewage Treatment Plant ","Ensign",,2.8,1.9,2.1,290,2299,0,"N/A","EN12 Pumped ","N/A",5,"N/A","Domestic Sewage Treatment for 12PE Pumped Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliability and cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN16 ","Ensign 16PE Sewage Treatment Plant Gravity Outlet","Sewage Treatment Plant ","Ensign",,2.8,1.9,2.2,290,2549,0,"N/A","EN16 Gravity ","N/A",5,"N/A","Domestic Sewage Treatment for 16PE Gravity Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliability and cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN16 ","Ensign 16PE Sewage Treatment Plant Pumped Outlet","Sewage Treatment Plant ","Ensign",,2.8,1.9,2.2,290,2949,0,"N/A","EN16 Pumped","N/A",5,"N/A","Domestic Sewage Treatment for 16PE Pumped Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliability and cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN20 ","Ensign 20PE Sewage Treatment Plant Gravity Outlet ","Sewage Treatment Plant ","Ensign",,3.6,1.9,2.2,310,2999,0,"N/A","EN20 Gravity ","N/A",5,"N/A","Domestic Sewage Treatment for 20PE Gravity Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliabilityand cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN20 ","Ensign 20PE Sewage Treatment Plant Pumped Outlet","Sewage Treatment Plant ","Ensign",,3.6,1.9,2.2,310,3399,0,"N/A","EN20 Pumped","N/A",5,"N/A","Domestic Sewage Treatment for 20PE Pumped Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliabilityand cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN25 ","Ensign 25PE Sewage Treatment Plant Gravity Outlet","Sewage Treatment Plant ","Ensign",,3.6,1.9,2.2,310,3999,0,"N/A","EN25 Gravity ","N/A",5,"N/A","Domestic Sewage Treatment for 25PE Gravity Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliability and cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN25 ","Ensign 25PE Sewage Treatment Plant Pumped Outlet","Sewage Treatment Plant ","Ensign",,3.6,1.9,2.2,310,4399,0,"N/A","EN25 Pumped","N/A",5,"N/A","Domestic Sewage Treatment for 25PE Pumped Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliability and cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN30 ","Ensign 30PE Sewage Treatment Plant Gravity Outlet","Sewage Treatment Plant ","Ensign",,4.2,1.9,2.2,330,5399,0,"N/A","EN30 Gravity ","N/A",5,"N/A","Domestic Sewage Treatment for 30PE Gravity Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation,  reliabilityand cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN30 ","Ensign 30PE Sewage Treatment Plant Pumped Outlet","Sewage Treatment Plant ","Ensign",,4.2,1.9,2.2,330,5799,0,"N/A","EN30 Pumped ","N/A",5,"N/A","Domestic Sewage Treatment for 30PE Pumped Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation,  reliabilityand cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN35 ","Ensign 35PE Sewage Treatment Plant Gravity Outlet","Sewage Treatment Plant ","Ensign",,4.2,1.9,2.2,330,6499,0,"N/A","EN35 Grvaity ","N/A",5,"N/A","Domestic Sewage Treatment for 35PE Gravity Outlet . Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliability and cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN35 ","Ensign 35PE Sewage Treatment Plant Pumped Outlet","Sewage Treatment Plant ","Ensign",,4.2,1.9,2.2,330,6899,0,"N/A","EN35 Pumped ","N/A",5,"N/A","Domestic Sewage Treatment for 35PE Pumped Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliability and cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN40 ","Ensign 40PE Sewage Treatment Plant Gravity Outlet","Sewage Treatment Plant ","Ensign",,5.2,1.9,2.2,350,7399,0,"N/A","EN40 Gravity ","N/A",5,"N/A","Domestic Sewage Treatment for 40PE Gravity Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, r eliabilityand cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN40 ","Ensign 40PE Sewage Treatment Plant Pumped Outlet","Sewage Treatment Plant ","Ensign",,5.2,1.9,2.2,350,7799,0,"N/A","EN40 Pumped ","N/A",5,"N/A","Domestic Sewage Treatment for 40PE Pumped Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, r eliabilityand cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN45 ","Ensign 45PE Sewage Treatment Plant Gravity Outlet","Sewage Treatment Plant ","Ensign",,5.2,1.9,2.2,350,8099,0,"N/A","EN45 Gravity ","N/A",5,"N/A","Domestic Sewage Treatment for 45PE Gravity Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliability and cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN45 ","Ensign 45PE Sewage Treatment Plant Pumped Outlet","Sewage Treatment Plant ","Ensign",,5.2,1.9,2.2,350,8499,0,"N/A","EN45 Pumped ","N/A",5,"N/A","Domestic Sewage Treatment for 45PE Pumped Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliability and cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN50 ","Ensign 50PE Sewage Treatmment Plant Gravity Outlet","Sewage Treatment Plant ","Ensign",,5.2,1.9,2.2,350,8699,0,"N/A","EN50 Gravity ","N/A",5,"N/A","Domestic Sewage Treatment for 50PE Gravity Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliability and cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
"EN50 ","Ensign 50PE Sewage Treatmment Plant Pumped Outlet","Sewage Treatment Plant ","Ensign",,5.2,1.9,2.2,350,9099,0,"N/A","EN50 Pumped ","N/A",5,"N/A","Domestic Sewage Treatment for 50PE Pumped Outlet. Certified and tested to BS EN 12566:3 ensuring class leading performance well within the national consent requirements. End users, merchants and installers alike recommend the Ensign range due to the ease of installation, reliability and cost effective operation. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Whispurr Acoustic Vibration Reduction Unit (AVR) available. Keying in lip to aid anchoring into granular/concrete surrounds. Manufactured in the UK"
